id,name,area,url,image,description,Address,Hours,Closed,Fees,Website
spot-12-eng,Ichijodani Asakura Clan Historic Ruins,Fukui,https://enjoy.pref.fukui.lg.jp/en/spot/spot-12/,https://images.ctfassets.net/28myztxqgnfy/184/895c17baa77ae68f9e9c3037ef21a19f/img_spot_012_01.jpg?q=30,The Ichijodani Asakura Clan Historic Ruins were once a castle town about 500 years ago. Visitors can explore a rebuilt stretch of road and see what life was like.,"Kidonouchi-cho, Fukui City",Ichijodani Asakura Clan Ruins: Anytime / Restored houses: 9:00 to 17:00 (entry by 16:30 ),Open 7 days a week except Year-End and New Year holidays,"Restored houses: ¥330 (Group discount available for people over 20) / Charge-free for children under 12, the physically handicapped, and the aged over 70",
spot-13-eng,Yuri-no-Sato Park,Sakai,https://enjoy.pref.fukui.lg.jp/en/spot/spot-13/,https://images.ctfassets.net/28myztxqgnfy/187/bb54dfb4f9a5dbc0ffca8093532a7ad6/img_spot_013_01.jpg?q=30,"Yuri-no-Sato Park is known for vast fields of lilies and roses. On most evenings, the park lights up, and in June, the park holds its Lily Festival.","21-2-3 Ishizuka, Harue-cho, Sakai City",9:00 to 21:30,"Tuesdays (open 7 days a week in June)
*If a national holiday falls on a Tuesday, the following day becomes a closed day.",Charge-free,
spot-14-eng,Yokokan Garden,Fukui,https://enjoy.pref.fukui.lg.jp/en/spot/spot-14/,https://images.ctfassets.net/28myztxqgnfy/190/f944d95f96d9c497841a489fcee3989d/img_spot_014_01.jpg?q=30,Yokokan Garden is known for its harmony between garden and buildings. It was built in the early seventeenth century as a villa for the Matsudaira family.,"3-11 Hoei, Fukui City","9:00 to 19:00 (March 1 to Nov. 5) (entry by 18:30)
9:00 to 17:00 (Nov. 6 to the end of Feb.) (entry by 16:30)",New Year`s (December 28th～January 4th),"¥220 (Group Entry ¥160)
* Combined Yokokan Garden & Fukui City History Museum Ticket ¥350 (Group Ticket ¥260) / Group discount available for people over 20 / Charge-free for children under the age of a junior high student, people over 70, and people with disability certificates and their caregivers",http://www.fukuisan.jp/en/yokokan/index.html
spot-15-eng,Daianzenji Temple,Fukui,https://enjoy.pref.fukui.lg.jp/en/spot/spot-15/,https://images.ctfassets.net/28myztxqgnfy/193/8e48016b37caffe6e3354a0aa50a1a0e/img_spot_015_01.jpg?q=30,Daianzenji Temple offers both Zen experiences and beauty. Visitors can try zazen seated meditation by reservation. The temple holds an iris festival every June.,"21-4 Tanotani-cho, Fukui City",9:00 to 17:00(Entrance gate closes at 16:30.),Open 7 days a week,Depends on each experience,https://www.daianzenji.jp/
spot-16-eng,Fukui Station Dinosaur Plaza,Fukui,https://enjoy.pref.fukui.lg.jp/en/spot/spot-16/,https://images.ctfassets.net/28myztxqgnfy/196/2c3a90ed35c6cec5168786cbf6469e92/img_spot_016_01.jpg?q=30,"Dinosaur Plaza, just outside Fukui Station, celebrates the many dinosaurs found in this prefecture. The plaza features three life-size dinosaurs that move every half hour.","2-1 Ote, Fukui City",Anytime,Open 7 days a week,Charge-free,
spot-17-eng,Yukemuri Yokocho,Sakai,https://enjoy.pref.fukui.lg.jp/en/spot/spot-17/,https://images.ctfassets.net/28myztxqgnfy/199/ab84ee4109e453fec1a35aa72b7f1e90/img_spot_017_01.jpg?q=30,"Yukemuri Yokocho consists of ten small restaurants that open for dinner, across the street from Awara-Yunomachi Station. Each restaurant serves a different specialty.","3-201 Onsen, Awara City (in front of Awarayunomachi Station)",Depends on each stall,Depends on each stall,Depends on each stall,https://yukemuriyokocho.com/
spot-18-eng,Heisenji Hakusan Shrine,Okuetsu,https://enjoy.pref.fukui.lg.jp/en/spot/spot-18/,https://images.ctfassets.net/28myztxqgnfy/202/09e60f96caee6a1e5d8c805afc4c28ff/img_spot_018_01.jpg?q=30,"Heisenji Hakusan Shrine is known for its mossy grounds and gardens. The path to the shrine is lined with moss and tall, ancient trees.","Heisenji, Heisenji-cho, Katsuyama City",Anytime,,Charge-free / ¥50 to visit “Old Genjouin Garden” inside the precincts of Hakusan Shrine designated as a National Scenic Beauty,http://heisenji.jp/
spot-19-eng,Fukui Prefectural Dinosaur Museum,Okuetsu,https://enjoy.pref.fukui.lg.jp/en/spot/spot-19/,https://images.ctfassets.net/28myztxqgnfy/205/b43198163f0df4e428895f41e15b0bab/img_spot_019_01.jpg?q=30,"The Fukui Prefectural Dinosaur Museum is one of the world’s largest dinosaur museums. Over a thousand items are on display, including 44 dinosaur skeletons and wall-sized fossilized footprints.","51-11 Terao, Muroko-cho, Katsuyama City","9:00 to 17:00 (entry by 16:30)
8:30 to 18:00 (No entry after 17:30)(during the summer holidays)","2nd and 4th Wednesday (Open the following day if it is a national holiday, andexcept during the summer holidays.)/Year-end and New Year holidays (12/31 to 1/1)
*The museum may be subject to temporary closure due to maintenance of our facility, etc.","¥730 (adults) / ¥420 (high school and college students) / ¥260 (primary / secondary
school students)/ free (senior and child)",https://www.dinosaur.pref.fukui.jp/en/
spot-20-eng,Maruoka Castle,Sakai,https://enjoy.pref.fukui.lg.jp/en/spot/spot-20/,https://images.ctfassets.net/28myztxqgnfy/208/ad54bd6a03010be13b9ad5e3fe0580ca/img_spot_020_01.jpg?q=30,"Maruoka Castle is one of only twelve original castle towers remaining in Japan today. In spring, some 400 cherry blossom trees bloom in the surrounding park.","1-59 Kasumi-cho, Maruoka-cho, Sakai City",8:30 to 17:00 (entry by 16:30),,¥450 (adults) / ¥150 (elementary and junior high school students),https://maruoka-castle.jp/
spot-21-eng,Wakasa Fisherman’s Wharf,Wakasa,https://enjoy.pref.fukui.lg.jp/en/spot/spot-21/,https://images.ctfassets.net/28myztxqgnfy/211/6cd4c1fddc584c2bf3a6ffa291066533/img_spot_021_01.jpg?q=30,Wakasa Fisherman’s Wharf offers fresh seafood and local goods. Pleasure boat rides that run along the beautiful Sotomo coastline leave once an hour.,"1-3-2 Kawasaki, Obama City",(April to Nov.) 8:30 to 17:00 / (Dec. to March.) 9:00 to 17:00,"Dec. 31 and Jan. 1, etc.",Depends on each stall,https://www.wakasa-fishermans.com/
spot-22-eng,Port of Humanity Tsuruga Museum,Nishu,https://enjoy.pref.fukui.lg.jp/en/spot/spot-22/,https://images.ctfassets.net/28myztxqgnfy/608/7beaff2f648bc80816554356321cd626/img_spot_022_01.jpg?q=30,The Port of Humanity Tsuruga Museum tells the remarkable story of important humanitarian events of the twentieth century that took place at Tsuruga Port.,"23-1 Kanegasaki-cho, Tsuruga City",9:00 to 17:00 (entry by 16:30),"Wednesday, Year End & New Year’s holidays",¥500 (adults) / ¥300 (children),https://tsuruga-museum.jp/
spot-23-eng,Echizen Daffodil Park,Fukui,https://enjoy.pref.fukui.lg.jp/en/spot/spot-23/,https://images.ctfassets.net/28myztxqgnfy/214/bddc6cce42a491493d6ef6f53f49b6d0/img_spot_023_01.jpg?q=30,"From December through February, the hills of Echizen Daffodil Park fill with daffodils in bloom. Inside the park’s Daffodil Dome, visitors can see blooming daffodils all year round.","43-25 Ikura-cho, Fukui City",9:00 to 17:00,Year-end and New Year holidays (12/29 to 1/1),¥310 (adults),
spot-24-eng,Ajimano Park,Tannan,https://enjoy.pref.fukui.lg.jp/en/spot/spot-24/,https://images.ctfassets.net/28myztxqgnfy/216/e857f30b0493ef61ad2f5e0e4d8d7db7/img_spot_024_01.jpg?q=30,Ajimano Park is known for its carefully landscaped Japanese garden and its seasonal flowers. The park commemorates the region’s connections to Japan’s oldest collection of poetry.,"55-1 Yokawa-cho, Echizen City",Anytime,,Charge-free,
spot-25-eng,Murasaki Shikibu Park,Tannan,https://enjoy.pref.fukui.lg.jp/en/spot/spot-25/,https://images.ctfassets.net/28myztxqgnfy/218/b638a64ad608a7952c74f6b86d00a167/img_spot_025_01.jpg?q=30,Murasaki Shikibu Park features a Japanese garden open to the public. The park is particularly known for wisteria flowers in spring and red maple trees in autumn.,"20 Higashisenpuku-cho, Echizen City",Anytime,,Charge-free,
spot-26-eng,Lake Kitagata,Sakai,https://enjoy.pref.fukui.lg.jp/en/spot/spot-26/,https://images.ctfassets.net/28myztxqgnfy/220/5f3d4e72f2e750af49966c51b612fba8/img_spot_026_01.jpg?q=30,"Lake Kitagata is a large lake near the northern coast of Fukui. Visitors can rent pedal-powered boats and bicycles, or relax and enjoy the scenery.","Kitagata, Awara City",Anytime,,Charge-free,
spot-27-eng,Hanahasu Park,Tannan,https://enjoy.pref.fukui.lg.jp/en/spot/spot-27/,https://images.ctfassets.net/28myztxqgnfy/222/f21efd072e5d2b33de78f4935d6fa805/img_spot_027_01.jpg?q=30,"Hanahasu Park is located in a town known for lotuses. The Lotus Festival each summer offers lotus-themed experiences, including fabric dyeing, and drinking through a lotus stem “straw.”","64-41 Nakagoya, Minamiechizen town",Anytime,,Charge-free (¥200 Hasu Matsuri Festival period),https://www.facebook.com/hanahasukouenn/
spot-28-eng,Fukui Castle Ruins,Fukui,https://enjoy.pref.fukui.lg.jp/en/spot/spot-28/,https://images.ctfassets.net/28myztxqgnfy/224/87be20a452f68ce1954d309c803d5839/img_spot_028_01.jpg?q=30,The ruins of Fukui Castle are located near Fukui Station. This is a popular spot for enjoying the cherry blossoms in late March and April.,"Ote, Fukui City",Anytime,,Charge-free,
spot-29-eng,Tsuruga Red Brick Warehouse,Nishu,https://enjoy.pref.fukui.lg.jp/en/spot/spot-29/,https://images.ctfassets.net/28myztxqgnfy/226/85a23a7b0acf00bee3ae6e4381dcac37/img_spot_029_01.jpg?q=30,"The Tsuruga Red Brick Warehouse consists of two historic brick buildings. Today, they contain a museum showing the history of Tsuruga with a giant diorama, and restaurants.","4-1 Kanegasaki-cho, Tsuruga City",9:30 to 22:00 / Diorama Room 9:30 to 17:30 (entry by 17:00),Wednesday (the following day if it is a national holiday) / Dec. 31 to Jan. 2,Charge-free (Diorama Room ¥400 (adults) / ¥200 (children)),http://tsuruga-akarenga.jp/
spot-30-eng,Awara Onsen,Sakai,https://enjoy.pref.fukui.lg.jp/en/spot/spot-30/,https://images.ctfassets.net/28myztxqgnfy/228/e70e4af75644ab83817ef185f512a6c0/img_spot_030_01.jpg?q=30,"Awara Onsen is Fukui’s largest hot spring resort town. Visitors can relax in the baths at hot spring inns, or or dress up in a yukata robe and walk around town.",Awara City,Depends on each facility,Depends on each facility,Depends on each facility,https://www.awara-onsen.org/
spot-31-eng,Megane Museum,Tannan,https://enjoy.pref.fukui.lg.jp/en/spot/spot-31/,https://images.ctfassets.net/28myztxqgnfy/230/45a309a84c93d337ce0c0c79ecf354e3/img_spot_031_01.jpg?q=30,The Megane Museum teaches visitors about the history of glasses. Hands-on workshops offer visitors the chance to make their own pair of glasses. (Reservations required.),"2-3-4 Shinyokoe, Sabae City","10:00 to 19:00 (closed Wednesday, Year End & New Year’s holidays)","Wednesday, Year End & New Year’s holidays","Charge-free (Workshop ¥2,000～)",https://www.megane.gr.jp/museum/
spot-32-eng,Echizen Bamboo Doll Village,Sakai,https://enjoy.pref.fukui.lg.jp/en/spot/spot-32/,https://images.ctfassets.net/28myztxqgnfy/232/47ce6c37ff91b4eecacec001e06bd32a/img_spot_032_01.jpg?q=30,"Echizen Bamboo Doll Village is a museum dedicated to traditional bamboo dolls, and other works of art made from bamboo. Visitors can try hands-on craft workshops.","63-1 Kamikumeda, Maruoka-cho, Sakai City",(Mar. to Nov.) 9:00 to 16:30 / (Dec. to Feb.) 10:00 to 16:00,"Wednesday, Dec. 26 to Jan. 1",Charge-free (Annex Workshop ¥300 (adults) / ¥150 (children)),http://www.takeningyo.com/
spot-33-eng,Nishiyama Park,Tannan,https://enjoy.pref.fukui.lg.jp/en/spot/spot-33/,https://images.ctfassets.net/28myztxqgnfy/234/7fc70671574b1030d99f4049c4547355/img_spot_033_01.jpg?q=30,"Nishiyama Park is a large public park known for cherry blossoms, azalea bushes, a traditional Japanese garden, and a free zoo with a collection of red pandas.","3-7-20 Sakuramachi, Sabae City",Anytime,,Charge-free,
spot-34-eng,Miyanoshita Cosmos Park,Fukui,https://enjoy.pref.fukui.lg.jp/en/spot/spot-34/,https://images.ctfassets.net/28myztxqgnfy/236/305bff16a0757c9be3601b7c202ef35a/img_spot_034_01.jpg?q=30,"The Miyanoshita Cosmos Park is a 17.5-hectare field filled with 100 million cosmos flowers. In October, they bloom, and the Cosmos Festival is held here.","Egami-cho and Goshogaichi-cho, Fukui City",Anytime (Blooming period),,Charge-free,
spot-35-eng,Lake Kuzuryu,Okuetsu,https://enjoy.pref.fukui.lg.jp/en/spot/spot-35/,https://images.ctfassets.net/28myztxqgnfy/238/d9cb9a42b4484e8ed0a9a9f9e60b3465/img_spot_035_01.jpg?q=30,"Lake Kuzuryu is located in the mountains of eastern Fukui. It is a popular destination for outdoor recreation, and for seasonal beauty in spring and autumn.","Hakogase, Ohno City (upstream area of the Kuzuryu River)",Anytime,,Charge-free,
spot-36-eng,Mantokuji Temple,Wakasa,https://enjoy.pref.fukui.lg.jp/en/spot/spot-36/,https://images.ctfassets.net/28myztxqgnfy/240/b3315dda5e1630a0d58bc89f02374844/img_spot_036_01.jpg?q=30,Mantokuji Temple is best known for its hillside landscape garden and its carefully raked rock garden. The temple is also home to several historic works of Buddhist art.,"74-23 Kanaya, Obama City",8:30 to 17:00,,¥400,
spot-37-eng,Kumagawa-juku Historic Post Town,Nishu,https://enjoy.pref.fukui.lg.jp/en/spot/spot-37/,https://images.ctfassets.net/28myztxqgnfy/242/0f15906094948b7b772cd710f8e946ce/img_spot_037_01.jpg?q=30,"The post town of Kumagawa-juku was established in 1589, as a place for travelers to rest between Kyoto and Fukui. Visitors can explore its traditional townscape.","Kumagawa, Wakasa town, Mikatakaminaka-gun",Anytime,,Charge-free,https://kumagawa-juku.com/
spot-38-eng,Genkuro Fujino Memorial Hall,Sakai,https://enjoy.pref.fukui.lg.jp/en/spot/spot-38/,https://images.ctfassets.net/28myztxqgnfy/244/e4e98421a59d12f7107ddded53f767c1/img_spot_038_01.jpg?q=30,The Genkuro Fujino Memorial Hall commemorates the lifelong connection between Fujino and Lu Xun. Various items that once belonged to Fujino are on display.,"1-203 Onsen, Awara City",9:00 to 18:00,"Tuesday, Dec. 29 to Jan. 3",¥210 (adults including college students),
spot-39-eng,Obama Park,Wakasa,https://enjoy.pref.fukui.lg.jp/en/spot/spot-39/,https://images.ctfassets.net/28myztxqgnfy/246/da2603038c7c9770df1d8f2021011eaa/img_spot_039_01.jpg?q=30,"Obama Park is located along Obama Bay. Enjoy a sandy beach, sculptures, and an observation platform with a panoramic view of the town and the bay.","81-1 Obamakatori, Obama City",Anytime,,Charge-free,
spot-40-eng,Skijam Katsuyama,Okuetsu,https://enjoy.pref.fukui.lg.jp/en/spot/spot-40/,https://images.ctfassets.net/28myztxqgnfy/248/a5ee2e05688f7fe76eb98d1db1035414/img_spot_040_01.jpg?q=30,"Skijam Katsuyama is one of western Japan’s largest ski resorts. The 14 trails offer runs up to 5,800 meters long, for everyone from beginners to experts.",170-70 Katsuyama City,"Weekdays 8:30 to 17:00
Weekends and Holidays 8:00 to 17:00 （8:00 to 16:30 until Jan 31st）","Winter season:
Opens from Mid-December to early April.
Green season:
Late April to early October.
","Lift (one day ticket) ¥5,300 (adults) / ¥4,700 (over 50 years old)  / ¥4,200 (over 60 years old) / ¥3,400 (children) / ¥1,800 (3 years old to pre-school children)",https://japan-skiguide.com/guide/htm/r0019ens.htm
spot-41-eng,The Sagicho Festival,Okuetsu,https://enjoy.pref.fukui.lg.jp/en/spot/spot-41/,https://images.ctfassets.net/28myztxqgnfy/250/3634e8726bacd41495951fa8941ca587/img_spot_041_01.jpg?q=30,"Katsuyama’s Sagicho Festival is held on the last full weekend of February. The town fills with lively music, and ends with a bonfire on Sunday night.",Katsuyama City,the last weekend in February,,Charge-free,https://www.city.katsuyama.fukui.jp/kankou/sagityo/
spot-42-eng,Omizu-Okuri Ritual,Wakasa,https://enjoy.pref.fukui.lg.jp/en/spot/spot-42/,https://images.ctfassets.net/28myztxqgnfy/252/b99631ae39879534296c31ede5486b16/img_spot_042_01.jpg?q=30,The Omizu-Okuri ritual is held at Jinguji Temple on the night of March 2. A torch-lit procession walks to the Onyu River to bless the water.,"Obama City
The venue: from Jinguji Temple to Unose",Early Mar,,Charge-free,
spot-43-eng,Mikuni Festival,Sakai,https://enjoy.pref.fukui.lg.jp/en/spot/spot-43/,https://images.ctfassets.net/28myztxqgnfy/254/a957edecaecb1bb6f37860a3fc363827/img_spot_043_01.jpg?q=30,"The main event of the Mikuni Festival is held on May 20, and features floats more than six meters tall. In the evening, these floats travel through the town’s narrow streets.","Mikuni-cho, Sakai City
The venue: Precincts of Mikuni Shrine and old town streets",May 15 to May 21 every year,,Charge-free,https://mikunimatsuri.com/
spot-44-eng,Wakasa Ichinomiya Shrine,Wakasa,https://enjoy.pref.fukui.lg.jp/en/spot/spot-44/,https://images.ctfassets.net/28myztxqgnfy/256/8aecdb289054ffbf25415a2330d41dbe/img_spot_044_01.jpg?q=30,"Wakasa Ichinomiya Shrine consists of two shrines. Wakasahiko Shrine, the upper shrine, is surrounded by tall, ancient trees. Wakasahime Shrine, the lower shrine, is closer to town.","28-7 Ryuzen, Obama City(Wakasahiko Shrine) / 65-41 Onyu, Obama City(Wakasahime Shrine)",Anytime,,Charge-free,
spot-45-eng,Shibamasa World,Sakai,https://enjoy.pref.fukui.lg.jp/en/spot/spot-45/,https://images.ctfassets.net/28myztxqgnfy/258/c1709e1046279f044724060b482b25a8/img_spot_045_01.jpg?q=30,"Shibamasa World is one of western Japan’s largest water parks, with 50 water slides and various swimming pools, as well as amusement park attractions like go-karts.","45-1 Hamaji Mikuni-cho, Sakai City",Hours vary according to the season.,Closing day vary according to the season.,"¥3,800 (adults) / ¥2,700 (children) / ¥2,700 (senior) *including admission and attraction fee
¥1,500 (adults) / ¥1,000 (children) / ¥1,000 (senior) *only admission fee",http://shibamasa.com/
spot-46-eng,Kanaz Forest of Creation,Sakai,https://enjoy.pref.fukui.lg.jp/en/spot/spot-46/,https://images.ctfassets.net/28myztxqgnfy/260/6c3b0ae1883e58ac0d02660f4e246e1b/img_spot_046_01.jpg?q=30,"The Kanaz Forest of Creation features an indoor venue for art exhibitions, as well as an outdoor art space. Various hands-on art experiences are available.","57-2-19 Miyadani, Awara City",Art Core 9:00 to 17:00 (hours vary according to the facility),"Mondays (Tuesday when Monday is a national holiday), Year End & New Year’s holidays",Free admission,https://sosaku.jp/
spot-47-eng,Mihama Hiruga Underwater Tug-of-War,Nishu,https://enjoy.pref.fukui.lg.jp/en/spot/spot-47/,https://images.ctfassets.net/28myztxqgnfy/262/25d1484bd807144f07e772f06ebd65c6/img_spot_047_01.jpg?q=30,"The Mihama Hiruga Underwater Tug-of-War is held each January. Young men from Mihama compete to rip a giant rope in two, then send it out to sea.","Hiruga, Mihama town, Mikata-gun",the third Sunday in January,,Charge-free,
spot-48-eng,Takefu Knife Village,Tannan,https://enjoy.pref.fukui.lg.jp/en/spot/spot-48/,https://images.ctfassets.net/28myztxqgnfy/264/fa8bbdc86945cdfa87b4f8d0103c2ec4/img_spot_048_01.jpg?q=30,"Learn about how knives are made, watch artisans at work, and shop from a wide selection at Takefu Knife Village. Visitors can even make their own knives.","22-91 Yokawa-cho, Echizen City",9:00 to 17:00,Year End & New Year’s holidays,"¥1,000 (Letter Opener Workshop)
*Fees vary according to kind of workshop. Factory tour is charge-free.",https://www.takefu-knifevillage.jp/
spot-49-eng,Myotsuji Temple,Wakasa,https://enjoy.pref.fukui.lg.jp/en/spot/spot-49/,https://images.ctfassets.net/28myztxqgnfy/266/746262c919842cba9b3d7fce479e95cf/img_spot_049_01.jpg?q=30,"Myotsuji Temple is located in the mountains of Obama, and is home to two buildings designated National Treasures. In November, the grounds fill with red and orange maple leaves.","5-21 Monzen, Obama City",9:00 to 17:00 (Dec-Feb. 9:00 to 16:30),,¥500,https://myotsuji.jimdofree.com/
spot-50-eng,Mikuni Sunset Beach,Sakai,https://enjoy.pref.fukui.lg.jp/en/spot/spot-50/,https://images.ctfassets.net/28myztxqgnfy/268/60e8af4fe787039d284efa2f7b7ddada/img_spot_050_01.jpg?q=30,"Mikuni Sunset Beach is a popular swimming beach for its shallow waters and beautiful sunsets. On August 11, the beach hosts a giant fireworks show.","Komegawaki, Mikuni-cho, Sakai City",the third Sunday in January,,Charge-free,https://mikuni-sunset.jp/
spot-51-eng,Mikuni Shrine,Sakai,https://enjoy.pref.fukui.lg.jp/en/spot/spot-51/,https://images.ctfassets.net/28myztxqgnfy/270/2138cff27686685d7e5e43991537123f/img_spot_051_01.jpg?q=30,"Mikuni Jinja Shrine is a large, quiet shrine. Gifts from merchants, such as the copper-topped torii gate and the statues inside Zuijin Gate, tell Mikuni’s story as a wealthy port town.","6-2-80 Sanno, Mikuni-cho, Sakai City",Anytime,,Charge-free,http://www.mikunijinja.jp/
spot-52-eng,Matsunaga Rokkan,Wakasa,https://enjoy.pref.fukui.lg.jp/en/spot/spot-52/,https://images.ctfassets.net/28myztxqgnfy/272/6314e2304568bae19476c59cd9343e0f/img_spot_052_01.jpg?q=30,"Matsunaga Rokkan aims to provide a Zen-influenced retreat from everyday life. The inn serves innovative meals that combine traditional principles of Buddhist cuisine with fresh, unique ideas.","9-4 Monzen, Obama City",Check in 15:00 to 18:00,,Lodging and experiences are fee-charging.,https://www.matsunagarokkan.com/
spot-53-eng,Yatsusugi Forest Learning Center,Tannan,https://enjoy.pref.fukui.lg.jp/en/spot/spot-53/,https://images.ctfassets.net/28myztxqgnfy/274/f47dd0971e0d07a8cd9e2115d618ade2/img_spot_053_01.jpg?q=30,"The Yatsusugi Forest Learning Center is an overnight facility surrounded by forests. Many hands-on experiences are available, including outdoor cooking, making crafts, and exploring nature.","19-1-1 Betsuin-cho, Echizen City",,"closed every Tuesday, the 3rd Sunday every month, December to March",Fees vary according to kind of workshop. (*Reservations required),
